Region,PM2.5,PM10,SO2,NO2,,
Beijing,70.51308802,100.1617561,15.69307259,36.2073822,,
Tianjin,75.16322175,128.4537827,26.92155884,42.98020641,,
Hebei,67.35036424,123.1808715,39.39586357,39.9945006,,
Shanxi,56.21650114,99.30525174,53.81069063,31.94108043,,
Nei Mongol,37.49787515,76.59064191,23.82445556,22.48185671,,
Liaoning,50.80173434,87.611652,33.38005027,29.13407639,,
Jilin,50.27951294,83.81746311,21.6044234,26.42300482,,
Heilongjiang,36.52764963,61.32465019,17.05627233,19.14884565,,
Shanghai,51.14810192,72.90263763,16.83197326,40.85212477,,
Jiangsu,58.16811528,98.88260298,24.07545027,32.55658451,,
Zhejiang,43.89526363,67.40405847,15.45635238,33.31930729,,
Anhui,55.44005666,84.23593303,19.10924299,27.26592293,,
Fujian,29.17094423,49.06345727,14.37900319,19.33976122,,
Jiangxi,39.59844787,61.54895497,22.23653577,18.93781658,,
Shandong,74.59378978,131.493584,42.39241131,39.20292155,,
Henan,74.09757407,124.4836962,33.2383935,36.02382312,,
Hubei,61.01289374,93.11669022,19.10004292,25.30297584,,
Hunan,50.37569971,78.98630498,22.4420848,21.74426111,,
Guangdong,34.6144499,54.24113364,14.81466903,22.91539461,,
Guangxi,39.96932602,60.11461343,17.7078215,19.12229484,,
Hainan,19.79935933,35.50667863,3.404903436,11.94024435,,
Chongqing,49.69723221,78.23787255,13.38684677,25.88657136,,
Sichuan,32.45184668,57.47349398,14.94073652,22.06504369,,
Guizhou,34.15395244,58.32728935,21.22234978,19.10651242,,
Yunnan,26.9201299,47.47235899,15.50908288,16.92572661,,
Xizang,34.78992586,82.78311141,19.23845079,18.14213253,,
Shaanxi,48.75999762,91.71276999,25.38937716,30.59412452,,
Gansu,45.73832054,94.88665084,23.96203423,25.46584685,,
Qinghai,44.58985947,95.20179575,23.03655442,19.74931456,,
Ningxia Hui,45.04476669,105.4878819,36.61054955,24.03396459,,
Xinjiang Uygur,61.20591549,160.7079112,24.07643494,26.36122524,,
Secondary Standard,35,70,60,40,,
Passing Provinces,7,10,31,29,,
